1,2,3,4,5,6,7,8,9,10,11
65204.73,51338.89,-15532.88,-21018.39,6220.27,-3776.89,6869.58,1464.67,0.038,0.77,0.604
64880.61,50822.25,-15317.76,-20962.36,6507.96,-3452.81,7167.31,1747.48,0.03,0.776,0.612
64431.11,50216.86,-15067.89,-20703.97,6782.68,-3201.98,7451.71,2030.59,0.03,0.776,0.612
64745.36,50724.85,-15302.41,-20786.18,6471.43,-3542.17,7128.49,1724.59,0.03,0.776,0.612
65189.55,51327.16,-15519.71,-20994.57,6219.91,-3786.32,6864.22,1460.75,0.03,0.776,0.612
64970.89,50959.11,-15385.6,-21012.99,6411.17,-3556.41,7063.35,1647.52,0.03,0.776,0.612
64443.52,50226.87,-15095.21,-20761.08,6742.83,-3224.33,7410.9,1992.66,0.03,0.776,0.612
64647.73,50586.96,-15259.96,-20764.01,6528.23,-3495.39,7180.7,1773.92,0.03,0.776,0.612
65137.92,51266.7,-15514.81,-20979.03,6224.76,-3791.06,6868.6,1465.81,0.03,0.776,0.612
65068.79,51110.19,-15427.84,-21019.22,6354.71,-3620.56,7005.8,1591.6,0.03,0.776,0.612
64505.37,50314.82,-15114.67,-20789.65,6736.23,-3237.07,7406.16,1974.58,0.03,0.776,0.612
64565.83,50475.94,-15212.73,-20729.48,6578.77,-3432.02,7244.92,1831.52,0.03,0.772,0.61
65079.65,51198.43,-15487.23,-20937.35,6241.34,-3764.53,6887.76,1482.46,0.03,0.772,0.61
65142.55,51223.38,-15473.78,-21030.04,6286.79,-3693.72,6940.08,1521.28,0.03,0.772,0.61
64601.75,50432.82,-15148.04,-20825.66,6688.71,-3262.1,7360.9,1942.75,0.03,0.772,0.61
64518.44,50390.57,-15142.52,-20683.43,6655.14,-3332.11,7329.87,1931.97,0.03,0.772,0.61
65017.49,51112.56,-15427.67,-20877.0,6302.03,-3692.22,6959.08,1571.19,0.03,0.772,0.61
65207.1,51321.13,-15481.91,-21011.0,6259.52,-3716.89,6915.5,1512.16,0.03,0.772,0.61
